OWNER_ID,AGE_GROUP,GENDER,DISTRICT,PRIMARY_BREED,SECONDARY_BREED,DOG_YEAR_OF_BIRTH,DOG_GENDER,DOG_COLOUR,DATASET_YEAR,UPDATE_TIME,BREED_TYPE
126,51-60,m,9.0,Welsh Terrier,,2011,w,black/brown,2015,2023-10-12 10:43:28,Kleinwüchsig
574,61-70,w,2.0,Cairn Terrier,,2002,w,brindle,2015,2023-10-12 10:43:28,Kleinwüchsig
695,41-50,m,6.0,Labrador Retriever,,2012,w,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
893,61-70,w,7.0,Mittelschnauzer,,2010,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
1177,51-60,m,10.0,Shih Tzu,,2011,m,black/white,2015,2023-10-12 10:43:28,Kleinwüchsig
4004,61-70,w,3.0,Dackel,,2010,m,brown,2015,2023-10-12 10:43:28,Kleinwüchsig
4050,41-50,w,11.0,Bichon frisé,,2012,m,white,2015,2023-10-12 10:43:28,Kleinwüchsig
4155,61-70,w,9.0,Zwergdackel,,2002,m,black/grau,2015,2023-10-12 10:43:28,Kleinwüchsig
4203,41-50,w,2.0,Labrador Retriever,Leonberger,2005,w,brown/black,2015,2023-10-12 10:43:28,Rassentypenliste I
4215,41-50,w,8.0,Bergamasker,,2004,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
4215,41-50,w,8.0,Border Collie,,2001,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
4215,41-50,w,8.0,Bergamasker,,2001,w,grau/brown,2015,2023-10-12 10:43:28,Rassentypenliste I
4239,61-70,w,10.0,Pinscher,,2013,w,brown/black,2015,2023-10-12 10:43:28,Kleinwüchsig
4261,71-80,w,7.0,Labrador Retriever,,2012,w,beige,2015,2023-10-12 10:43:28,Rassentypenliste I
4281,61-70,w,9.0,Chihuahua,,2011,w,hellbraun,2015,2023-10-12 10:43:28,Kleinwüchsig
4281,61-70,w,9.0,Chihuahua,,2014,w,black/white/brown,2015,2023-10-12 10:43:28,Kleinwüchsig
4362,61-70,w,7.0,West Highland White Terrier,,2002,m,white,2015,2023-10-12 10:43:28,Kleinwüchsig
4726,51-60,m,5.0,Mischling klein,,2007,m,black,2015,2023-10-12 10:43:28,Kleinwüchsig
4726,51-60,m,5.0,Golden Retriever,,2013,w,creme,2015,2023-10-12 10:43:28,Rassentypenliste I
4786,41-50,m,3.0,Weimaraner,,2013,w,silber,2015,2023-10-12 10:43:28,Rassentypenliste I
4801,51-60,m,4.0,Tibetan Spaniel,,2013,w,black/brown,2015,2023-10-12 10:43:28,Kleinwüchsig
4880,51-60,m,5.0,Leonberger,,2011,m,goldbraun,2015,2023-10-12 10:43:28,Rassentypenliste I
4889,51-60,m,8.0,Shiba Inu,,2003,w,rotbraun,2015,2023-10-12 10:43:28,Kleinwüchsig
4908,51-60,m,5.0,Mischling klein,,1999,w,hellbraun,2015,2023-10-12 10:43:28,Kleinwüchsig
4908,51-60,m,5.0,Mischling klein,,2000,m,black/brown/white,2015,2023-10-12 10:43:28,Kleinwüchsig
5088,51-60,m,7.0,Labrador Retriever,,2014,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
5113,51-60,m,11.0,Beagle,,2010,w,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
5225,61-70,m,3.0,Lagotto Romagnolo,,2007,m,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
5227,61-70,m,10.0,Border Terrier,,2011,w,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
5348,61-70,m,7.0,Magyar Viszla,,2005,w,gelb,2015,2023-10-12 10:43:28,Rassentypenliste I
5361,61-70,m,7.0,Prager Rattler,,2000,w,black/brown,2015,2023-10-12 10:43:28,Kleinwüchsig
5406,51-60,m,6.0,Französische Bulldogge,,2013,m,white/black,2015,2023-10-12 10:43:28,Kleinwüchsig
6071,61-70,m,3.0,Cocker Spaniel,,2014,m,black,2015,2023-10-12 10:43:28,Kleinwüchsig
6103,51-60,w,4.0,Zwergrauhaardackel,,2009,w,rot,2015,2023-10-12 10:43:28,Kleinwüchsig
6314,61-70,m,10.0,Jack Russel Terrier,,2005,w,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
6321,51-60,w,8.0,Mops,,2011,m,beige,2015,2023-10-12 10:43:28,Kleinwüchsig
6364,61-70,m,,Appenzeller,Border Collie,2013,m,tricolor,2015,2023-10-12 10:43:28,Rassentypenliste I
6469,41-50,m,11.0,Mops,,2011,m,beige,2015,2023-10-12 10:43:28,Kleinwüchsig
